file:new-v1-GraphFPN.py, seed: 100
Epoch: 000, Loss: 0.72885, Train Acc: 0.49909, val Acc: 0.51338, Test Acc: 0.51338
Epoch: 001, Loss: 0.69151, Train Acc: 0.49909, val Acc: 0.51338, Test Acc: 0.51338
Epoch: 002, Loss: 0.68907, Train Acc: 0.51825, val Acc: 0.53041, Test Acc: 0.52798
Epoch: 003, Loss: 0.65864, Train Acc: 0.52190, val Acc: 0.51582, Test Acc: 0.52798
Epoch: 004, Loss: 0.65827, Train Acc: 0.58120, val Acc: 0.57178, Test Acc: 0.57178
Epoch: 005, Loss: 0.64522, Train Acc: 0.56691, val Acc: 0.54745, Test Acc: 0.57178
Epoch: 006, Loss: 0.64728, Train Acc: 0.55353, val Acc: 0.53285, Test Acc: 0.57178
Epoch: 007, Loss: 0.64381, Train Acc: 0.58485, val Acc: 0.57421, Test Acc: 0.57178
Epoch: 008, Loss: 0.64391, Train Acc: 0.55718, val Acc: 0.54501, Test Acc: 0.57178
Epoch: 009, Loss: 0.63530, Train Acc: 0.56813, val Acc: 0.54745, Test Acc: 0.57178
Epoch: 010, Loss: 0.62690, Train Acc: 0.57482, val Acc: 0.56934, Test Acc: 0.57178
Epoch: 011, Loss: 0.61739, Train Acc: 0.59459, val Acc: 0.56204, Test Acc: 0.57178
Epoch: 012, Loss: 0.61546, Train Acc: 0.60097, val Acc: 0.60341, Test Acc: 0.60827
Epoch: 013, Loss: 0.61042, Train Acc: 0.60189, val Acc: 0.59611, Test Acc: 0.60827
Epoch: 014, Loss: 0.60551, Train Acc: 0.62439, val Acc: 0.61800, Test Acc: 0.62774
Epoch: 015, Loss: 0.60035, Train Acc: 0.56509, val Acc: 0.56934, Test Acc: 0.62774
Epoch: 016, Loss: 0.60440, Train Acc: 0.61466, val Acc: 0.60341, Test Acc: 0.62774
Epoch: 017, Loss: 0.59810, Train Acc: 0.58729, val Acc: 0.59367, Test Acc: 0.62774
Epoch: 018, Loss: 0.60174, Train Acc: 0.65541, val Acc: 0.65207, Test Acc: 0.65207
Epoch: 019, Loss: 0.59262, Train Acc: 0.67701, val Acc: 0.67640, Test Acc: 0.67640
Epoch: 020, Loss: 0.59392, Train Acc: 0.67153, val Acc: 0.61314, Test Acc: 0.67640
Epoch: 021, Loss: 0.59532, Train Acc: 0.68735, val Acc: 0.67883, Test Acc: 0.68613
Epoch: 022, Loss: 0.58619, Train Acc: 0.67640, val Acc: 0.64720, Test Acc: 0.68613
Epoch: 023, Loss: 0.58925, Train Acc: 0.67123, val Acc: 0.61557, Test Acc: 0.68613
Epoch: 024, Loss: 0.58133, Train Acc: 0.68917, val Acc: 0.65693, Test Acc: 0.68613
Epoch: 025, Loss: 0.57938, Train Acc: 0.68613, val Acc: 0.67640, Test Acc: 0.68613
Epoch: 026, Loss: 0.58146, Train Acc: 0.68066, val Acc: 0.65207, Test Acc: 0.68613
Epoch: 027, Loss: 0.58951, Train Acc: 0.70225, val Acc: 0.68127, Test Acc: 0.68856
Epoch: 028, Loss: 0.58587, Train Acc: 0.67153, val Acc: 0.65207, Test Acc: 0.68856
Epoch: 029, Loss: 0.58623, Train Acc: 0.67549, val Acc: 0.66423, Test Acc: 0.68856
Epoch: 030, Loss: 0.59464, Train Acc: 0.66636, val Acc: 0.64477, Test Acc: 0.68856
Epoch: 031, Loss: 0.59712, Train Acc: 0.67245, val Acc: 0.68127, Test Acc: 0.68856
Epoch: 032, Loss: 0.58650, Train Acc: 0.64173, val Acc: 0.65450, Test Acc: 0.68856
Epoch: 033, Loss: 0.58303, Train Acc: 0.66880, val Acc: 0.67153, Test Acc: 0.68856
Epoch: 034, Loss: 0.57550, Train Acc: 0.68887, val Acc: 0.67883, Test Acc: 0.68856
Epoch: 035, Loss: 0.57529, Train Acc: 0.68856, val Acc: 0.69586, Test Acc: 0.69586
Epoch: 036, Loss: 0.56879, Train Acc: 0.68613, val Acc: 0.69586, Test Acc: 0.69586
Epoch: 037, Loss: 0.56977, Train Acc: 0.71502, val Acc: 0.70073, Test Acc: 0.70560
Epoch: 038, Loss: 0.55935, Train Acc: 0.71046, val Acc: 0.69586, Test Acc: 0.70560
Epoch: 039, Loss: 0.57022, Train Acc: 0.69069, val Acc: 0.66910, Test Acc: 0.70560
Epoch: 040, Loss: 0.57177, Train Acc: 0.69830, val Acc: 0.69586, Test Acc: 0.70560
Epoch: 041, Loss: 0.56760, Train Acc: 0.71533, val Acc: 0.71533, Test Acc: 0.71776
Epoch: 042, Loss: 0.56527, Train Acc: 0.70712, val Acc: 0.71046, Test Acc: 0.71776
Epoch: 043, Loss: 0.55707, Train Acc: 0.68157, val Acc: 0.66180, Test Acc: 0.71776
Epoch: 044, Loss: 0.56410, Train Acc: 0.70712, val Acc: 0.71290, Test Acc: 0.71776
Epoch: 045, Loss: 0.55951, Train Acc: 0.70955, val Acc: 0.71046, Test Acc: 0.71776
Epoch: 046, Loss: 0.56257, Train Acc: 0.70468, val Acc: 0.71776, Test Acc: 0.71533
Epoch: 047, Loss: 0.56230, Train Acc: 0.70651, val Acc: 0.69100, Test Acc: 0.71533
Epoch: 048, Loss: 0.55594, Train Acc: 0.70468, val Acc: 0.66667, Test Acc: 0.71533
Epoch: 049, Loss: 0.55006, Train Acc: 0.70773, val Acc: 0.69100, Test Acc: 0.71533
Epoch: 050, Loss: 0.56007, Train Acc: 0.71137, val Acc: 0.69586, Test Acc: 0.71533
Epoch: 051, Loss: 0.55726, Train Acc: 0.71290, val Acc: 0.66423, Test Acc: 0.71533
Epoch: 052, Loss: 0.55206, Train Acc: 0.71411, val Acc: 0.72263, Test Acc: 0.71776
Epoch: 053, Loss: 0.55389, Train Acc: 0.67366, val Acc: 0.65693, Test Acc: 0.71776
Epoch: 054, Loss: 0.54709, Train Acc: 0.70803, val Acc: 0.70316, Test Acc: 0.71776
Epoch: 055, Loss: 0.55384, Train Acc: 0.72506, val Acc: 0.68613, Test Acc: 0.71776
Epoch: 056, Loss: 0.54579, Train Acc: 0.70225, val Acc: 0.68856, Test Acc: 0.71776
Epoch: 057, Loss: 0.55847, Train Acc: 0.73266, val Acc: 0.72993, Test Acc: 0.73236
Epoch: 058, Loss: 0.53947, Train Acc: 0.73084, val Acc: 0.72019, Test Acc: 0.73236
Epoch: 059, Loss: 0.54845, Train Acc: 0.72141, val Acc: 0.72506, Test Acc: 0.73236
Epoch: 060, Loss: 0.54256, Train Acc: 0.73236, val Acc: 0.73236, Test Acc: 0.72749
Epoch: 061, Loss: 0.54820, Train Acc: 0.71989, val Acc: 0.71046, Test Acc: 0.72749
Epoch: 062, Loss: 0.55106, Train Acc: 0.71442, val Acc: 0.72019, Test Acc: 0.72749
Epoch: 063, Loss: 0.54740, Train Acc: 0.71198, val Acc: 0.70803, Test Acc: 0.72749
Epoch: 064, Loss: 0.53903, Train Acc: 0.69860, val Acc: 0.67397, Test Acc: 0.72749
Epoch: 065, Loss: 0.54925, Train Acc: 0.72597, val Acc: 0.71776, Test Acc: 0.72749
Epoch: 066, Loss: 0.53748, Train Acc: 0.70438, val Acc: 0.69830, Test Acc: 0.72749
Epoch: 067, Loss: 0.54706, Train Acc: 0.73510, val Acc: 0.71290, Test Acc: 0.72749
Epoch: 068, Loss: 0.53606, Train Acc: 0.71442, val Acc: 0.68856, Test Acc: 0.72749
Epoch: 069, Loss: 0.54873, Train Acc: 0.72871, val Acc: 0.71533, Test Acc: 0.72749
Epoch: 070, Loss: 0.54042, Train Acc: 0.70225, val Acc: 0.70560, Test Acc: 0.72749
Epoch: 071, Loss: 0.54801, Train Acc: 0.67457, val Acc: 0.69586, Test Acc: 0.72749
Epoch: 072, Loss: 0.54218, Train Acc: 0.69799, val Acc: 0.68613, Test Acc: 0.72749
Epoch: 073, Loss: 0.54542, Train Acc: 0.71259, val Acc: 0.68370, Test Acc: 0.72749
Epoch: 074, Loss: 0.54583, Train Acc: 0.69647, val Acc: 0.66180, Test Acc: 0.72749
Epoch: 075, Loss: 0.55591, Train Acc: 0.70681, val Acc: 0.68127, Test Acc: 0.72749
Epoch: 076, Loss: 0.54902, Train Acc: 0.71320, val Acc: 0.71046, Test Acc: 0.72749
Epoch: 077, Loss: 0.54998, Train Acc: 0.73114, val Acc: 0.72263, Test Acc: 0.72749
Epoch: 078, Loss: 0.53227, Train Acc: 0.72567, val Acc: 0.70803, Test Acc: 0.72749
Epoch: 079, Loss: 0.54909, Train Acc: 0.73662, val Acc: 0.70073, Test Acc: 0.72749
Epoch: 080, Loss: 0.54107, Train Acc: 0.70377, val Acc: 0.69343, Test Acc: 0.72749
Epoch: 081, Loss: 0.53798, Train Acc: 0.72536, val Acc: 0.71776, Test Acc: 0.72749
Epoch: 082, Loss: 0.53449, Train Acc: 0.71290, val Acc: 0.70316, Test Acc: 0.72749
Epoch: 083, Loss: 0.52771, Train Acc: 0.72476, val Acc: 0.72749, Test Acc: 0.72749
Epoch: 084, Loss: 0.53816, Train Acc: 0.73875, val Acc: 0.71046, Test Acc: 0.72749
Epoch: 085, Loss: 0.52271, Train Acc: 0.70043, val Acc: 0.69100, Test Acc: 0.72749
Epoch: 086, Loss: 0.54196, Train Acc: 0.74361, val Acc: 0.70560, Test Acc: 0.72749
Epoch: 087, Loss: 0.53411, Train Acc: 0.74361, val Acc: 0.72263, Test Acc: 0.72749
Epoch: 088, Loss: 0.53616, Train Acc: 0.72628, val Acc: 0.72263, Test Acc: 0.72749
Epoch: 089, Loss: 0.53198, Train Acc: 0.73388, val Acc: 0.71046, Test Acc: 0.72749
Epoch: 090, Loss: 0.53369, Train Acc: 0.73844, val Acc: 0.72263, Test Acc: 0.72749
Epoch: 091, Loss: 0.54338, Train Acc: 0.72871, val Acc: 0.68127, Test Acc: 0.72749
Epoch: 092, Loss: 0.54807, Train Acc: 0.72141, val Acc: 0.73236, Test Acc: 0.72749
Epoch: 093, Loss: 0.54192, Train Acc: 0.69069, val Acc: 0.68127, Test Acc: 0.72749
Epoch: 094, Loss: 0.55069, Train Acc: 0.74574, val Acc: 0.72993, Test Acc: 0.72749
Epoch: 095, Loss: 0.54031, Train Acc: 0.72658, val Acc: 0.69830, Test Acc: 0.72749
Epoch: 096, Loss: 0.54776, Train Acc: 0.73783, val Acc: 0.73723, Test Acc: 0.73479
Epoch: 097, Loss: 0.53731, Train Acc: 0.72050, val Acc: 0.69830, Test Acc: 0.73479
Epoch: 098, Loss: 0.53832, Train Acc: 0.75760, val Acc: 0.75182, Test Acc: 0.74209
Epoch: 099, Loss: 0.54476, Train Acc: 0.70925, val Acc: 0.69343, Test Acc: 0.74209

file:new-v1-GraphFPN.py, seed: 105
Epoch: 000, Loss: 0.70277, Train Acc: 0.51156, val Acc: 0.46472, Test Acc: 0.46472
Epoch: 001, Loss: 0.66490, Train Acc: 0.54775, val Acc: 0.53528, Test Acc: 0.53771
Epoch: 002, Loss: 0.65583, Train Acc: 0.60249, val Acc: 0.61071, Test Acc: 0.60584
Epoch: 003, Loss: 0.64353, Train Acc: 0.64659, val Acc: 0.63504, Test Acc: 0.63260
Epoch: 004, Loss: 0.63522, Train Acc: 0.64142, val Acc: 0.67640, Test Acc: 0.67883
Epoch: 005, Loss: 0.64249, Train Acc: 0.65420, val Acc: 0.63990, Test Acc: 0.67883
Epoch: 006, Loss: 0.63113, Train Acc: 0.65298, val Acc: 0.64234, Test Acc: 0.67883
Epoch: 007, Loss: 0.63205, Train Acc: 0.57360, val Acc: 0.57421, Test Acc: 0.67883
Epoch: 008, Loss: 0.62351, Train Acc: 0.64325, val Acc: 0.65207, Test Acc: 0.67883
Epoch: 009, Loss: 0.62725, Train Acc: 0.65998, val Acc: 0.62044, Test Acc: 0.67883
Epoch: 010, Loss: 0.62332, Train Acc: 0.61679, val Acc: 0.61557, Test Acc: 0.67883
Epoch: 011, Loss: 0.62610, Train Acc: 0.64021, val Acc: 0.64477, Test Acc: 0.67883
Epoch: 012, Loss: 0.63080, Train Acc: 0.66180, val Acc: 0.60097, Test Acc: 0.67883
Epoch: 013, Loss: 0.60654, Train Acc: 0.63777, val Acc: 0.65693, Test Acc: 0.67883
Epoch: 014, Loss: 0.62163, Train Acc: 0.66971, val Acc: 0.64720, Test Acc: 0.67883
Epoch: 015, Loss: 0.60649, Train Acc: 0.66363, val Acc: 0.64477, Test Acc: 0.67883
Epoch: 016, Loss: 0.61017, Train Acc: 0.69009, val Acc: 0.64234, Test Acc: 0.67883
Epoch: 017, Loss: 0.60299, Train Acc: 0.64355, val Acc: 0.61557, Test Acc: 0.67883
Epoch: 018, Loss: 0.59887, Train Acc: 0.68005, val Acc: 0.65450, Test Acc: 0.67883
Epoch: 019, Loss: 0.60578, Train Acc: 0.68613, val Acc: 0.65693, Test Acc: 0.67883
Epoch: 020, Loss: 0.59534, Train Acc: 0.69221, val Acc: 0.64720, Test Acc: 0.67883
Epoch: 021, Loss: 0.60458, Train Acc: 0.68309, val Acc: 0.68127, Test Acc: 0.68370
Epoch: 022, Loss: 0.60530, Train Acc: 0.68066, val Acc: 0.63990, Test Acc: 0.68370
Epoch: 023, Loss: 0.60288, Train Acc: 0.67397, val Acc: 0.64477, Test Acc: 0.68370
Epoch: 024, Loss: 0.58591, Train Acc: 0.69039, val Acc: 0.64477, Test Acc: 0.68370
Epoch: 025, Loss: 0.60134, Train Acc: 0.60858, val Acc: 0.60341, Test Acc: 0.68370
Epoch: 026, Loss: 0.60189, Train Acc: 0.61588, val Acc: 0.62530, Test Acc: 0.68370
Epoch: 027, Loss: 0.60724, Train Acc: 0.65693, val Acc: 0.66423, Test Acc: 0.68370
Epoch: 028, Loss: 0.60689, Train Acc: 0.68796, val Acc: 0.68370, Test Acc: 0.68856
Epoch: 029, Loss: 0.59872, Train Acc: 0.68431, val Acc: 0.65450, Test Acc: 0.68856
Epoch: 030, Loss: 0.59763, Train Acc: 0.67670, val Acc: 0.63504, Test Acc: 0.68856
Epoch: 031, Loss: 0.59529, Train Acc: 0.64568, val Acc: 0.60341, Test Acc: 0.68856
Epoch: 032, Loss: 0.59190, Train Acc: 0.70620, val Acc: 0.67397, Test Acc: 0.68856
Epoch: 033, Loss: 0.58898, Train Acc: 0.68796, val Acc: 0.66423, Test Acc: 0.68856
Epoch: 034, Loss: 0.58821, Train Acc: 0.69830, val Acc: 0.64477, Test Acc: 0.68856
Epoch: 035, Loss: 0.58752, Train Acc: 0.71229, val Acc: 0.66423, Test Acc: 0.68856
Epoch: 036, Loss: 0.59459, Train Acc: 0.66393, val Acc: 0.63504, Test Acc: 0.68856
Epoch: 037, Loss: 0.58628, Train Acc: 0.67731, val Acc: 0.64720, Test Acc: 0.68856
Epoch: 038, Loss: 0.57925, Train Acc: 0.70773, val Acc: 0.68613, Test Acc: 0.68613
Epoch: 039, Loss: 0.57055, Train Acc: 0.71624, val Acc: 0.66910, Test Acc: 0.68613
Epoch: 040, Loss: 0.57369, Train Acc: 0.71807, val Acc: 0.69343, Test Acc: 0.68613
Epoch: 041, Loss: 0.57673, Train Acc: 0.71229, val Acc: 0.69586, Test Acc: 0.69343
Epoch: 042, Loss: 0.57913, Train Acc: 0.69951, val Acc: 0.64720, Test Acc: 0.69343
Epoch: 043, Loss: 0.56739, Train Acc: 0.68948, val Acc: 0.64964, Test Acc: 0.69343
Epoch: 044, Loss: 0.56272, Train Acc: 0.70864, val Acc: 0.64964, Test Acc: 0.69343
Epoch: 045, Loss: 0.56974, Train Acc: 0.72293, val Acc: 0.66180, Test Acc: 0.69343
Epoch: 046, Loss: 0.57051, Train Acc: 0.72445, val Acc: 0.67640, Test Acc: 0.69343
Epoch: 047, Loss: 0.56419, Train Acc: 0.72080, val Acc: 0.65450, Test Acc: 0.69343
Epoch: 048, Loss: 0.55990, Train Acc: 0.72324, val Acc: 0.67883, Test Acc: 0.69343
Epoch: 049, Loss: 0.56267, Train Acc: 0.72476, val Acc: 0.63747, Test Acc: 0.69343
Epoch: 050, Loss: 0.57163, Train Acc: 0.70286, val Acc: 0.65937, Test Acc: 0.69343
Epoch: 051, Loss: 0.57812, Train Acc: 0.72901, val Acc: 0.66180, Test Acc: 0.69343
Epoch: 052, Loss: 0.57422, Train Acc: 0.72993, val Acc: 0.68856, Test Acc: 0.69343
Epoch: 053, Loss: 0.56721, Train Acc: 0.73844, val Acc: 0.65693, Test Acc: 0.69343
Epoch: 054, Loss: 0.55990, Train Acc: 0.72080, val Acc: 0.68127, Test Acc: 0.69343
Epoch: 055, Loss: 0.56360, Train Acc: 0.70347, val Acc: 0.65937, Test Acc: 0.69343
Epoch: 056, Loss: 0.56923, Train Acc: 0.67640, val Acc: 0.62774, Test Acc: 0.69343
Epoch: 057, Loss: 0.55966, Train Acc: 0.68765, val Acc: 0.61800, Test Acc: 0.69343
Epoch: 058, Loss: 0.55088, Train Acc: 0.72719, val Acc: 0.67640, Test Acc: 0.69343
Epoch: 059, Loss: 0.54686, Train Acc: 0.72232, val Acc: 0.67397, Test Acc: 0.69343
Epoch: 060, Loss: 0.55767, Train Acc: 0.72901, val Acc: 0.69100, Test Acc: 0.69343
Epoch: 061, Loss: 0.55390, Train Acc: 0.72354, val Acc: 0.72749, Test Acc: 0.72019
Epoch: 062, Loss: 0.56390, Train Acc: 0.69921, val Acc: 0.66910, Test Acc: 0.72019
Epoch: 063, Loss: 0.55585, Train Acc: 0.74027, val Acc: 0.67640, Test Acc: 0.72019
Epoch: 064, Loss: 0.56642, Train Acc: 0.70864, val Acc: 0.66180, Test Acc: 0.72019
Epoch: 065, Loss: 0.56311, Train Acc: 0.72354, val Acc: 0.65693, Test Acc: 0.72019
Epoch: 066, Loss: 0.55212, Train Acc: 0.70529, val Acc: 0.63504, Test Acc: 0.72019
Epoch: 067, Loss: 0.56009, Train Acc: 0.72597, val Acc: 0.66667, Test Acc: 0.72019
Epoch: 068, Loss: 0.54608, Train Acc: 0.71867, val Acc: 0.67153, Test Acc: 0.72019
Epoch: 069, Loss: 0.54759, Train Acc: 0.71594, val Acc: 0.70316, Test Acc: 0.72019
Epoch: 070, Loss: 0.55323, Train Acc: 0.74453, val Acc: 0.72993, Test Acc: 0.72749
Epoch: 071, Loss: 0.55805, Train Acc: 0.72719, val Acc: 0.66910, Test Acc: 0.72749
Epoch: 072, Loss: 0.55126, Train Acc: 0.71016, val Acc: 0.64720, Test Acc: 0.72749
Epoch: 073, Loss: 0.54002, Train Acc: 0.71320, val Acc: 0.66667, Test Acc: 0.72749
Epoch: 074, Loss: 0.54324, Train Acc: 0.72932, val Acc: 0.66910, Test Acc: 0.72749
Epoch: 075, Loss: 0.54824, Train Acc: 0.73844, val Acc: 0.70073, Test Acc: 0.72749
Epoch: 076, Loss: 0.55025, Train Acc: 0.72111, val Acc: 0.67883, Test Acc: 0.72749
Epoch: 077, Loss: 0.55700, Train Acc: 0.73023, val Acc: 0.68370, Test Acc: 0.72749
Epoch: 078, Loss: 0.55606, Train Acc: 0.73084, val Acc: 0.67397, Test Acc: 0.72749
Epoch: 079, Loss: 0.54688, Train Acc: 0.72597, val Acc: 0.69586, Test Acc: 0.72749
Epoch: 080, Loss: 0.55149, Train Acc: 0.74270, val Acc: 0.68856, Test Acc: 0.72749
Epoch: 081, Loss: 0.57790, Train Acc: 0.72993, val Acc: 0.69830, Test Acc: 0.72749
Epoch: 082, Loss: 0.57520, Train Acc: 0.70499, val Acc: 0.68370, Test Acc: 0.72749
Epoch: 083, Loss: 0.56548, Train Acc: 0.73327, val Acc: 0.69830, Test Acc: 0.72749
Epoch: 084, Loss: 0.56952, Train Acc: 0.70103, val Acc: 0.69100, Test Acc: 0.72749
Epoch: 085, Loss: 0.56571, Train Acc: 0.72080, val Acc: 0.67153, Test Acc: 0.72749
Epoch: 086, Loss: 0.56447, Train Acc: 0.69282, val Acc: 0.65450, Test Acc: 0.72749
Epoch: 087, Loss: 0.55262, Train Acc: 0.73814, val Acc: 0.72993, Test Acc: 0.72749
Epoch: 088, Loss: 0.55500, Train Acc: 0.73662, val Acc: 0.70073, Test Acc: 0.72749
Epoch: 089, Loss: 0.54852, Train Acc: 0.72019, val Acc: 0.69100, Test Acc: 0.72749
Epoch: 090, Loss: 0.55493, Train Acc: 0.71411, val Acc: 0.69586, Test Acc: 0.72749
Epoch: 091, Loss: 0.54657, Train Acc: 0.73510, val Acc: 0.68856, Test Acc: 0.72749
Epoch: 092, Loss: 0.54865, Train Acc: 0.74483, val Acc: 0.70803, Test Acc: 0.72749
Epoch: 093, Loss: 0.53691, Train Acc: 0.73753, val Acc: 0.68613, Test Acc: 0.72749
Epoch: 094, Loss: 0.54549, Train Acc: 0.74300, val Acc: 0.69343, Test Acc: 0.72749
Epoch: 095, Loss: 0.54281, Train Acc: 0.73571, val Acc: 0.71290, Test Acc: 0.72749
Epoch: 096, Loss: 0.54939, Train Acc: 0.74118, val Acc: 0.70803, Test Acc: 0.72749
Epoch: 097, Loss: 0.53854, Train Acc: 0.74179, val Acc: 0.70560, Test Acc: 0.72749
Epoch: 098, Loss: 0.53466, Train Acc: 0.74787, val Acc: 0.69830, Test Acc: 0.72749
Epoch: 099, Loss: 0.53779, Train Acc: 0.74878, val Acc: 0.69100, Test Acc: 0.72749

file:new-v1-GraphFPN.py, seed: 110
Epoch: 000, Loss: 0.69185, Train Acc: 0.50152, val Acc: 0.45499, Test Acc: 0.45499
Epoch: 001, Loss: 0.65907, Train Acc: 0.49939, val Acc: 0.54745, Test Acc: 0.54745
Epoch: 002, Loss: 0.65176, Train Acc: 0.55049, val Acc: 0.59367, Test Acc: 0.59367
Epoch: 003, Loss: 0.64488, Train Acc: 0.61557, val Acc: 0.61557, Test Acc: 0.61557
Epoch: 004, Loss: 0.63102, Train Acc: 0.51946, val Acc: 0.54745, Test Acc: 0.61557
Epoch: 005, Loss: 0.64067, Train Acc: 0.62591, val Acc: 0.63504, Test Acc: 0.63747
Epoch: 006, Loss: 0.63068, Train Acc: 0.63625, val Acc: 0.60827, Test Acc: 0.63747
Epoch: 007, Loss: 0.61980, Train Acc: 0.64234, val Acc: 0.63504, Test Acc: 0.63747
Epoch: 008, Loss: 0.62041, Train Acc: 0.62378, val Acc: 0.54258, Test Acc: 0.63747
Epoch: 009, Loss: 0.62693, Train Acc: 0.66849, val Acc: 0.61314, Test Acc: 0.63747
Epoch: 010, Loss: 0.61312, Train Acc: 0.65389, val Acc: 0.61800, Test Acc: 0.63747
Epoch: 011, Loss: 0.60841, Train Acc: 0.58820, val Acc: 0.57421, Test Acc: 0.63747
Epoch: 012, Loss: 0.61183, Train Acc: 0.65572, val Acc: 0.61800, Test Acc: 0.63747
Epoch: 013, Loss: 0.62029, Train Acc: 0.57968, val Acc: 0.48418, Test Acc: 0.63747
Epoch: 014, Loss: 0.62256, Train Acc: 0.67062, val Acc: 0.63017, Test Acc: 0.63747
Epoch: 015, Loss: 0.62401, Train Acc: 0.63717, val Acc: 0.62774, Test Acc: 0.63747
Epoch: 016, Loss: 0.60302, Train Acc: 0.68491, val Acc: 0.64964, Test Acc: 0.64964
Epoch: 017, Loss: 0.60776, Train Acc: 0.64933, val Acc: 0.63504, Test Acc: 0.64964
Epoch: 018, Loss: 0.61359, Train Acc: 0.68035, val Acc: 0.64477, Test Acc: 0.64964
Epoch: 019, Loss: 0.60426, Train Acc: 0.68005, val Acc: 0.60341, Test Acc: 0.64964
Epoch: 020, Loss: 0.60621, Train Acc: 0.63929, val Acc: 0.63260, Test Acc: 0.64964
Epoch: 021, Loss: 0.60720, Train Acc: 0.63504, val Acc: 0.62774, Test Acc: 0.64964
Epoch: 022, Loss: 0.59018, Train Acc: 0.65724, val Acc: 0.62530, Test Acc: 0.64964
Epoch: 023, Loss: 0.59003, Train Acc: 0.65298, val Acc: 0.62044, Test Acc: 0.64964
